,FishID,Species,temp_bin,rate_ggd,rate_final,mass_corrected,trial
38,Masu19,Masu,18,0.008178321,5.679389583,4.343416377,4
39,Masu19,Masu,18,0.00745942,5.180152778,3.96161596,5
42,Ito16,Ito,17,0.0060254,4.184305556,2.642672921,2
43,Ito14,Ito,17,0.007148329,4.964117361,3.272914671,2
44,Ito14,Ito,16,0.007996029,5.552797917,3.661040311,3
45,Ito16,Ito,15,0.007628488,5.297561111,3.345769353,3
46,Ito16,Ito,12,0.0071174,4.942638889,3.121611884,4
47,Ito14,Ito,12,0.00667775,4.637326389,3.057456637,4
48,Ito14,Ito,12,0.005495607,3.81639375,2.516203826,5
49,Ito16,Ito,12,0.004428265,3.075184028,1.942187407,5
50,Ito14,Ito,13,0.008945351,6.212049306,4.095694326,6
51,Ito16,Ito,13,0.008322646,5.779615278,3.650219274,6
52,Ito14,Ito,14,0.003914907,2.718685417,1.792468779,7
53,Ito16,Ito,15,0.006001855,4.167954861,2.632346347,7
54,Ito14,Ito,16,0.006208,4.311111111,2.842378167,8
55,Ito16,Ito,16,0.006799304,4.721738889,2.982098543,8
56,Ito14,Ito,17,0.006912552,4.800383333,3.164962448,9
57,Ito16,Ito,17,0.0069504,4.826666667,3.048367555,9
58,Ito14,Ito,20,0.011927135,8.282732639,5.460925921,10
59,Ito16,Ito,20,0.006874852,4.774202778,3.015233049,10
60,Ito17,Ito,19,0.006896762,4.789418056,3.078667044,1
61,Ito18,Ito,19,0.009830857,6.826984028,4.11366467,1
62,Ito19,Ito,19,0.006947015,4.824315972,3.296070334,1
63,Ito20,Ito,19,0.009961558,6.917748611,4.347716648,1
64,Ito17,Ito,19,0.00722176,5.015111111,3.223743912,2
65,Ito18,Ito,19,0.008133355,5.648163194,3.403354876,2
66,Ito19,Ito,19,0.006894352,4.787744444,3.271083925,2
67,Ito20,Ito,19,0.008318487,5.776727083,3.630599191,2
68,Ito17,Ito,15,0.006731429,4.674603472,3.004863531,3
69,Ito18,Ito,15,0.00816,5.666666667,3.414504321,3
70,Ito19,Ito,15,0.007728458,5.366984722,3.666832609,3
71,Ito20,Ito,15,0.010947611,7.602507639,4.778078951,3
72,Ito18,Ito,15,0.006407483,4.449640972,2.681173822,4
73,Ito19,Ito,15,0.005784511,4.017021528,2.744510427,4
74,Ito20,Ito,15,0.009365818,6.504040278,4.087706244,4
75,Ito17,Ito,15,0.005203934,3.613843056,2.323000287,4
76,Ito17,Ito,16,0.005857524,4.067725,2.61475836,5
77,Ito18,Ito,16,0.005269781,3.659570139,2.205109068,5
78,Ito19,Ito,16,0.007316426,5.080851389,3.471340524,5
79,Ito20,Ito,16,0.005262948,3.654825,2.297010833,5
80,Ito17,Ito,17,0.006329905,4.395767361,2.825625984,6
81,Ito18,Ito,17,0.009403429,6.530159028,3.934809921,6
82,Ito19,Ito,17,0.00833788,5.790194444,3.955978058,6
83,Ito20,Ito,17,0.006545455,4.545454861,2.856760325,6
84,Ito17,Ito,19,0.008150486,5.660059722,3.6383208,7
85,Ito18,Ito,19,0.010091935,7.008288194,4.222911233,7
86,Ito19,Ito,19,0.007554437,5.246136806,3.584266867,7
87,Ito20,Ito,19,0.009520536,6.611483333,4.155232832,7
88,Ito17,Ito,20,0.008685511,6.031604861,3.877152274,8
89,Ito18,Ito,20,0.009778111,6.790354861,4.091593414,8
90,Ito19,Ito,20,0.008475679,5.885888194,4.021357966,8
91,Ito20,Ito,20,0.008287347,5.755102083,3.617008154,8
92,Ito21,Ito,17,0.006928483,4.811446528,3.201900373,1
93,Ito22,Ito,17,0.006852045,4.758364583,3.09436125,1
94,Ito21,Ito,17,0.00782094,5.431208333,3.614336746,2
95,Ito22,Ito,17,0.007866589,5.462909028,3.552526023,2
96,Ito21,Ito,17,0.008137514,5.651051389,3.760636941,3
97,Ito22,Ito,17,0.007582255,5.265454861,3.424121713,3
98,Ito21,Ito,19,0.008881502,6.167709722,4.104460467,4
99,Ito22,Ito,19,0.007796923,5.414529861,3.521065084,4
100,Ito21,Ito,19,0.007442409,5.168339583,3.439404001,5
101,Ito22,Ito,19,0.007870306,5.465490278,3.554204608,5
