Time,Date,Time,TempA,TempB,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
106,28-06-2024,11:40:03,19.415,20.832,8.119,10.067,9.307,9.241,8.457,7.778,6.808,7.517
107,28-06-2024,11:40:07,19.413,20.833,8.108,10.057,9.309,9.244,8.449,7.773,6.807,7.527
108,28-06-2024,11:40:11,19.416,20.83,8.11,10.058,9.31,9.247,8.457,7.777,6.802,7.524
109,28-06-2024,11:40:15,19.42,20.83,8.119,10.058,9.305,9.247,8.45,7.78,6.792,7.525
110,28-06-2024,11:40:19,19.421,20.829,8.124,10.045,9.296,9.248,8.453,7.776,6.792,7.521
111,28-06-2024,11:40:23,19.42,20.828,8.121,10.06,9.305,9.248,8.453,7.784,6.788,7.528
112,28-06-2024,11:40:27,19.42,20.831,8.111,10.054,9.311,9.245,8.459,7.783,6.782,7.527
113,28-06-2024,11:40:31,19.421,20.83,8.106,10.052,9.306,9.25,8.453,7.75,6.776,7.519
114,28-06-2024,11:40:35,19.424,20.834,8.123,10.055,9.3,9.255,8.455,7.751,6.778,7.525
115,28-06-2024,11:40:39,19.424,20.834,8.119,10.046,9.305,9.25,8.453,7.764,6.782,7.523
116,28-06-2024,11:40:43,19.421,20.834,8.123,10.049,9.311,9.249,8.458,7.765,6.783,7.52
117,28-06-2024,11:40:47,19.427,20.832,8.122,10.055,9.305,9.248,8.457,7.776,6.785,7.519
118,28-06-2024,11:40:51,19.428,20.832,8.123,10.053,9.299,9.247,8.461,7.776,6.785,7.523
119,28-06-2024,11:40:55,19.423,20.837,8.125,10.059,9.311,9.245,8.459,7.772,6.775,7.515
120,28-06-2024,11:40:59,19.428,20.842,8.111,10.056,9.31,9.24,8.456,7.774,6.777,7.511
121,28-06-2024,11:41:03,19.428,20.843,8.12,10.05,9.303,9.249,8.453,7.781,6.776,7.507
122,28-06-2024,11:41:07,19.432,20.84,8.119,10.048,9.308,9.247,8.444,7.782,6.779,7.515
123,28-06-2024,11:41:11,19.429,20.837,8.118,10.053,9.305,9.245,8.455,7.784,6.779,7.517
124,28-06-2024,11:41:15,19.432,20.844,8.122,10.048,9.302,9.25,8.467,7.781,6.789,7.516
125,28-06-2024,11:41:19,19.43,20.843,8.12,10.06,9.309,9.253,8.45,7.776,6.787,7.513
126,28-06-2024,11:41:23,19.434,20.837,8.111,10.046,9.31,9.253,8.443,7.779,6.789,7.514
127,28-06-2024,11:41:27,19.436,20.841,8.123,10.058,9.304,9.251,8.449,7.784,6.794,7.515
128,28-06-2024,11:41:31,19.434,20.837,8.116,10.045,9.306,9.244,8.453,7.777,6.799,7.52
129,28-06-2024,11:41:35,19.435,20.839,8.114,10.037,9.305,9.25,8.456,7.772,6.803,7.524
130,28-06-2024,11:41:39,19.432,20.841,8.121,10.056,9.309,9.251,8.468,7.774,6.804,7.517
131,28-06-2024,11:41:43,19.439,20.841,8.109,10.035,9.303,9.249,8.455,7.779,6.808,7.519
132,28-06-2024,11:41:47,19.441,20.839,8.125,10.043,9.299,9.25,8.459,7.775,6.803,7.507
133,28-06-2024,11:41:51,19.442,20.843,8.119,10.055,9.304,9.247,8.452,7.767,6.808,7.5
134,28-06-2024,11:41:55,19.439,20.841,8.121,10.036,9.307,9.243,8.46,7.764,6.811,7.496
135,28-06-2024,11:41:59,19.441,20.841,8.109,10.045,9.306,9.25,8.457,7.774,6.803,7.496
136,28-06-2024,11:42:03,19.438,20.841,8.12,10.042,9.311,9.256,8.452,7.767,6.808,7.498
137,28-06-2024,11:42:07,19.441,20.842,8.124,10.045,9.303,9.249,8.456,7.773,6.803,7.48
138,28-06-2024,11:42:11,19.442,20.84,8.123,10.045,9.305,9.242,8.464,7.769,6.795,7.474
139,28-06-2024,11:42:15,19.448,20.837,8.126,10.034,9.308,9.246,8.467,7.774,6.795,7.446
140,28-06-2024,11:42:19,19.444,20.837,8.119,10.03,9.301,9.253,8.472,7.774,6.781,7.418
141,28-06-2024,11:42:23,19.449,20.847,8.122,10.032,9.301,9.247,8.463,7.778,6.779,7.392
142,28-06-2024,11:42:27,19.449,20.85,8.122,10.035,9.306,9.251,8.468,7.779,6.78,7.386
143,28-06-2024,11:42:31,19.447,20.848,8.118,10.039,9.305,9.25,8.453,7.775,6.777,7.392
144,28-06-2024,11:42:35,19.445,20.845,8.123,10.039,9.302,9.245,8.46,7.781,6.772,7.386
145,28-06-2024,11:42:39,19.449,20.84,8.117,10.044,9.304,9.246,8.45,7.781,6.763,7.376
146,28-06-2024,11:42:43,19.452,20.842,8.121,10.038,9.307,9.245,8.462,7.785,6.757,7.361
147,28-06-2024,11:42:47,19.449,20.839,8.119,10.04,9.306,9.249,8.451,7.776,6.751,7.324
148,28-06-2024,11:42:51,19.453,20.845,8.119,10.035,9.308,9.25,8.446,7.772,6.756,7.244
149,28-06-2024,11:42:55,19.454,20.846,8.118,10.028,9.3,9.245,8.462,7.775,6.749,7.184
150,28-06-2024,11:42:59,19.454,20.846,8.119,10.036,9.306,9.257,8.444,7.762,6.752,7.161
151,28-06-2024,11:43:03,19.454,20.85,8.123,10.029,9.304,9.25,8.449,7.762,6.751,7.147
152,28-06-2024,11:43:07,19.454,20.849,8.123,10.028,9.306,9.246,8.464,7.759,6.757,7.13
153,28-06-2024,11:43:11,19.456,20.848,8.113,10.031,9.304,9.249,8.454,7.769,6.763,7.092
154,28-06-2024,11:43:15,19.458,20.853,8.124,10.026,9.309,9.244,8.444,7.774,6.761,7.064
155,28-06-2024,11:43:19,19.459,20.852,8.122,10.029,9.307,9.248,8.443,7.774,6.758,7.053
156,28-06-2024,11:43:23,19.461,20.855,8.118,10.026,9.304,9.245,8.464,7.779,6.768,7.032
157,28-06-2024,11:43:27,19.459,20.851,8.114,10.038,9.31,9.249,8.456,7.784,6.76,7.015
158,28-06-2024,11:43:31,19.458,20.853,8.121,10.034,9.304,9.242,8.458,7.778,6.762,7.003
159,28-06-2024,11:43:35,19.462,20.85,8.118,10.042,9.309,9.249,8.451,7.781,6.759,6.977
160,28-06-2024,11:43:39,19.458,20.848,8.113,10.043,9.309,9.256,8.454,7.786,6.761,6.956
161,28-06-2024,11:43:43,19.461,20.848,8.115,10.022,9.308,9.249,8.463,7.784,6.764,6.934
162,28-06-2024,11:43:47,19.462,20.852,8.112,10.037,9.301,9.254,8.451,7.769,6.766,6.909
163,28-06-2024,11:43:51,19.465,20.851,8.113,10.033,9.306,9.25,8.45,7.757,6.771,6.897
164,28-06-2024,11:43:55,19.463,20.855,8.118,10.034,9.315,9.256,8.45,7.754,6.774,6.87
165,28-06-2024,11:43:59,19.464,20.858,8.118,10.028,9.307,9.25,8.446,7.745,6.779,6.858
166,28-06-2024,11:44:03,19.466,20.858,8.112,10.025,9.309,9.254,8.448,7.745,6.781,6.842
167,28-06-2024,11:44:07,19.468,20.857,8.114,10.034,9.312,9.253,8.446,7.764,6.782,6.833
168,28-06-2024,11:44:11,19.467,20.854,8.122,10.036,9.311,9.251,8.455,7.756,6.782,6.842
169,28-06-2024,11:44:15,19.471,20.853,8.11,10.03,9.311,9.253,8.454,7.755,6.781,6.848
170,28-06-2024,11:44:19,19.472,20.852,8.114,10.04,9.303,9.25,8.453,7.767,6.789,6.882
171,28-06-2024,11:44:23,19.471,20.851,8.113,10.04,9.302,9.249,8.452,7.774,6.784,6.929
172,28-06-2024,11:44:27,19.468,20.854,8.115,10.039,9.305,9.251,8.451,7.772,6.783,6.96
173,28-06-2024,11:44:31,19.473,20.855,8.115,10.038,9.31,9.252,8.452,7.777,6.788,6.972
174,28-06-2024,11:44:35,19.473,20.849,8.117,10.041,9.3,9.247,8.445,7.778,6.79,7.005
175,28-06-2024,11:44:39,19.477,20.856,8.12,10.036,9.306,9.253,8.446,7.782,6.787,7.022
176,28-06-2024,11:44:43,19.475,20.857,8.118,10.043,9.303,9.25,8.45,7.783,6.786,7.049
177,28-06-2024,11:44:47,19.477,20.861,8.119,10.039,9.309,9.252,8.441,7.78,6.785,7.138
178,28-06-2024,11:44:51,19.478,20.859,8.121,10.05,9.313,9.254,8.447,7.782,6.786,7.178
179,28-06-2024,11:44:55,19.476,20.863,8.121,10.04,9.308,9.26,8.447,7.781,6.782,7.212
180,28-06-2024,11:44:59,19.478,20.86,8.122,10.048,9.319,9.246,8.445,7.782,6.782,7.251
181,28-06-2024,11:45:03,19.48,20.863,8.123,10.041,9.309,9.254,8.445,7.775,6.784,7.285
182,28-06-2024,11:45:07,19.48,20.863,8.116,10.05,9.302,9.254,8.441,7.792,6.776,7.319
183,28-06-2024,11:45:11,19.481,20.863,8.115,10.051,9.308,9.248,8.45,7.782,6.776,7.355
184,28-06-2024,11:45:15,19.483,20.866,8.123,10.051,9.302,9.253,8.444,7.783,6.775,7.373
185,28-06-2024,11:45:19,19.481,20.868,8.108,10.049,9.309,9.252,8.441,7.783,6.778,7.391
186,28-06-2024,11:45:23,19.482,20.869,8.114,10.06,9.309,9.256,8.442,7.781,6.776,7.398
187,28-06-2024,11:45:27,19.487,20.869,8.127,10.062,9.311,9.252,8.448,7.775,6.776,7.395
188,28-06-2024,11:45:31,19.482,20.869,8.121,10.058,9.312,9.25,8.452,7.772,6.775,7.404
189,28-06-2024,11:45:35,19.486,20.871,8.123,10.052,9.304,9.251,8.443,7.773,6.779,7.409
190,28-06-2024,11:45:39,19.487,20.871,8.123,10.054,9.307,9.249,8.447,7.775,6.773,7.407
191,28-06-2024,11:45:43,19.491,20.871,8.121,10.057,9.306,9.26,8.436,7.781,6.775,7.414
192,28-06-2024,11:45:47,19.486,20.868,8.121,10.056,9.305,9.253,8.441,7.779,6.773,7.42
193,28-06-2024,11:45:51,19.487,20.869,8.119,10.059,9.303,9.255,8.441,7.786,6.773,7.42
194,28-06-2024,11:45:55,19.488,20.864,8.117,10.059,9.304,9.25,8.438,7.783,6.773,7.419
195,28-06-2024,11:45:59,19.49,20.866,8.118,10.062,9.307,9.254,8.454,7.776,6.78,7.421
196,28-06-2024,11:46:03,19.492,20.866,8.123,10.057,9.312,9.251,8.452,7.773,6.782,7.435
197,28-06-2024,11:46:07,19.493,20.874,8.122,10.049,9.309,9.25,8.446,7.768,6.781,7.451
198,28-06-2024,11:46:11,19.491,20.876,8.119,10.058,9.298,9.251,8.437,7.771,6.782,7.462
199,28-06-2024,11:46:15,19.495,20.878,8.127,10.05,9.301,9.256,8.445,7.77,6.781,7.472
200,28-06-2024,11:46:19,19.497,20.873,8.112,10.053,9.308,9.25,8.448,7.773,6.786,7.471
201,28-06-2024,11:46:23,19.492,20.873,8.121,10.057,9.304,9.254,8.454,7.782,6.787,7.485
202,28-06-2024,11:46:27,19.494,20.872,8.113,10.053,9.306,9.252,8.443,7.778,6.791,7.493
203,28-06-2024,11:46:31,19.496,20.874,8.127,10.06,9.305,9.254,8.453,7.78,6.794,7.493
204,28-06-2024,11:46:35,19.5,20.871,8.117,10.064,9.302,9.25,8.447,7.777,6.797,7.492
205,28-06-2024,11:46:39,19.499,20.872,8.11,10.07,9.303,9.257,8.446,7.773,6.795,7.486
206,28-06-2024,11:46:43,19.5,20.874,8.115,10.07,9.308,9.245,8.442,7.778,6.803,7.491
207,28-06-2024,11:46:47,19.5,20.874,8.119,10.061,9.301,9.253,8.455,7.769,6.806,7.495
208,28-06-2024,11:46:51,19.499,20.873,8.108,10.066,9.303,9.257,8.46,7.775,6.805,7.503
209,28-06-2024,11:46:55,19.501,20.872,8.111,10.073,9.299,9.249,8.434,7.776,6.809,7.504
210,28-06-2024,11:46:59,19.5,20.875,8.117,10.064,9.303,9.251,8.446,7.773,6.808,7.504
211,28-06-2024,11:47:03,19.504,20.877,8.117,10.066,9.3,9.257,8.444,7.764,6.802,7.507
212,28-06-2024,11:47:07,19.502,20.88,8.118,10.06,9.311,9.253,8.447,7.776,6.805,7.5
213,28-06-2024,11:47:11,19.505,20.876,8.118,10.064,9.306,9.252,8.44,7.775,6.806,7.497
214,28-06-2024,11:47:15,19.506,20.877,8.129,10.056,9.314,9.25,8.455,7.77,6.808,7.501
215,28-06-2024,11:47:19,19.508,20.876,8.125,10.071,9.308,9.255,8.441,7.779,6.809,7.507
216,28-06-2024,11:47:23,19.506,20.877,8.119,10.073,9.303,9.25,8.444,7.782,6.799,7.506
217,28-06-2024,11:47:27,19.511,20.875,8.113,10.068,9.309,9.253,8.438,7.777,6.794,7.505
218,28-06-2024,11:47:31,19.51,20.876,8.115,10.064,9.304,9.25,8.454,7.779,6.802,7.509
219,28-06-2024,11:47:35,19.51,20.876,8.115,10.069,9.304,9.248,8.444,7.782,6.791,7.517
220,28-06-2024,11:47:39,19.511,20.879,8.122,10.066,9.302,9.255,8.443,7.777,6.782,7.514
221,28-06-2024,11:47:43,19.512,20.88,8.127,10.071,9.304,9.244,8.442,7.784,6.778,7.513
222,28-06-2024,11:47:47,19.514,20.88,8.107,10.073,9.304,9.25,8.444,7.774,6.776,7.516
223,28-06-2024,11:47:51,19.515,20.879,8.124,10.058,9.311,9.253,8.445,7.775,6.783,7.51
224,28-06-2024,11:47:55,19.515,20.883,8.117,10.073,9.299,9.252,8.436,7.784,6.783,7.508
225,28-06-2024,11:47:59,19.514,20.887,8.123,10.076,9.31,9.26,8.446,7.775,6.781,7.504
226,28-06-2024,11:48:03,19.518,20.883,8.115,10.083,9.296,9.254,8.436,7.777,6.776,7.506
227,28-06-2024,11:48:07,19.519,20.884,8.119,10.077,9.308,9.253,8.443,7.777,6.779,7.503
228,28-06-2024,11:48:11,19.521,20.886,8.12,10.093,9.31,9.246,8.444,7.777,6.782,7.508
229,28-06-2024,11:48:15,19.522,20.885,8.121,10.078,9.308,9.251,8.434,7.774,6.773,7.512
230,28-06-2024,11:48:19,19.521,20.884,8.121,10.09,9.306,9.259,8.449,7.776,6.775,7.515
231,28-06-2024,11:48:23,19.522,20.884,8.12,10.085,9.315,9.253,8.443,7.775,6.778,7.507
232,28-06-2024,11:48:27,19.523,20.887,8.118,10.08,9.306,9.25,8.45,7.776,6.78,7.514
233,28-06-2024,11:48:31,19.524,20.888,8.115,10.08,9.311,9.249,8.443,7.774,6.774,7.511
234,28-06-2024,11:48:35,19.527,20.882,8.124,10.08,9.304,9.254,8.443,7.774,6.777,7.52
235,28-06-2024,11:48:39,19.525,20.887,8.121,10.079,9.304,9.254,8.444,7.775,6.778,7.513
236,28-06-2024,11:48:43,19.526,20.892,8.115,10.09,9.308,9.254,8.449,7.77,6.778,7.515
237,28-06-2024,11:48:47,19.525,20.891,8.113,10.083,9.303,9.258,8.443,7.77,6.782,7.524
238,28-06-2024,11:48:51,19.523,20.89,8.122,10.092,9.3,9.251,8.444,7.774,6.781,7.516
239,28-06-2024,11:48:55,19.529,20.891,8.119,10.079,9.31,9.255,8.435,7.769,6.785,7.522
240,28-06-2024,11:48:59,19.528,20.892,8.118,10.094,9.303,9.253,8.431,7.771,6.785,7.522
241,28-06-2024,11:49:03,19.53,20.891,8.118,10.098,9.314,9.251,8.428,7.768,6.787,7.522
242,28-06-2024,11:49:07,19.526,20.895,8.12,10.105,9.306,9.261,8.442,7.771,6.791,7.523
243,28-06-2024,11:49:11,19.53,20.891,8.115,10.098,9.308,9.257,8.434,7.772,6.792,7.524
244,28-06-2024,11:49:15,19.529,20.891,8.127,10.092,9.31,9.252,8.434,7.782,6.786,7.52
245,28-06-2024,11:49:19,19.533,20.893,8.121,10.096,9.307,9.254,8.444,7.775,6.789,7.512
246,28-06-2024,11:49:23,19.537,20.896,8.117,10.084,9.309,9.25,8.436,7.775,6.79,7.518
247,28-06-2024,11:49:27,19.532,20.892,8.123,10.091,9.303,9.254,8.446,7.774,6.789,7.519
248,28-06-2024,11:49:31,19.53,20.896,8.117,10.091,9.309,9.254,8.437,7.774,6.787,7.517
249,28-06-2024,11:49:35,19.535,20.896,8.118,10.095,9.303,9.251,8.444,7.774,6.788,7.521
250,28-06-2024,11:49:39,19.538,20.894,8.119,10.081,9.305,9.257,8.443,7.771,6.788,7.516
251,28-06-2024,11:49:43,19.539,20.892,8.124,10.086,9.313,9.256,8.436,7.77,6.792,7.522
252,28-06-2024,11:49:47,19.539,20.889,8.12,10.094,9.31,9.251,8.437,7.771,6.793,7.52
