"","temp_bin","temp","rate_output","rate_final","FishID","Species","Method","trial","rep","mass","vol","no_mass_rate","mass_corrected"
"58",19,19.15,0.006896762,4.789418056,"Ito17","Ito","Static",1,NA,2.7,372,287.36508336,3.07866704367419
"59",19,18.95,0.009830857,6.826984028,"Ito18","Ito","Static",1,NA,1.5,374,409.61904168,4.11366467004793
"60",19,19.2,0.006947015,4.824315972,"Ito19","Ito","Static",1,NA,4.7,384,289.45895832,3.2960703335697
"61",19,19.35,0.009961558,6.917748611,"Ito20","Ito","Static",1,NA,2.2,376,415.06491666,4.34771664786721
"62",19,18.55,0.00722176,5.015111111,"Ito17","Ito","Static",2,NA,2.7,372,300.90666666,3.2237439115296
"63",19,18.65,0.008133355,5.648163194,"Ito18","Ito","Static",2,NA,1.5,374,338.88979164,3.40335487625706
"64",19,18.8,0.006894352,4.787744444,"Ito19","Ito","Static",2,NA,4.7,384,287.26466664,3.27108392530089
"65",19,18.8,0.008318487,5.776727083,"Ito20","Ito","Static",2,NA,2.2,376,346.60362498,3.63059919075519
"66",15,14.75,0.006731429,4.674603472,"Ito17","Ito","Static",3,NA,2.7,372,280.47620832,3.00486353106348
"67",15,14.75,0.00816,5.666666667,"Ito18","Ito","Static",3,NA,1.5,374,340.00000002,3.41450432128888
"68",15,14.8,0.007728458,5.366984722,"Ito19","Ito","Static",3,NA,4.7,384,322.01908332,3.66683260913616
"69",15,14.75,0.010947611,7.602507639,"Ito20","Ito","Static",3,NA,2.2,376,456.15045834,4.77807895115747
"70",15,14.6,0.006407483,4.449640972,"Ito18","Ito","Static",4,NA,1.5,374,266.97845832,2.68117382226782
"71",15,14.55,0.005784511,4.017021528,"Ito19","Ito","Static",4,NA,4.7,384,241.02129168,2.74451042688702
"72",15,14.65,0.009365818,6.504040278,"Ito20","Ito","Static",4,NA,2.2,376,390.24241668,4.08770624449907
"73",15,14.6,0.005203934,3.613843056,"Ito17","Ito","Static",4,NA,2.7,372,216.83058336,2.32300028676344
"74",16,15.55,0.005857524,4.067725,"Ito17","Ito","Static",5,NA,2.7,372,244.0635,2.6147583597429
"75",16,15.6,0.005269781,3.659570139,"Ito18","Ito","Static",5,NA,1.5,374,219.57420834,2.20510906816592
"76",16,15.6,0.007316426,5.080851389,"Ito19","Ito","Static",5,NA,4.7,384,304.85108334,3.47134052366321
"77",16,15.6,0.005262948,3.654825,"Ito20","Ito","Static",5,NA,2.2,376,219.2895,2.29701083272586
"78",17,17,0.006329905,4.395767361,"Ito17","Ito","Static",6,NA,2.7,372,263.74604166,2.82562598372794
"79",17,16.95,0.009403429,6.530159028,"Ito18","Ito","Static",6,NA,1.5,374,391.80954168,3.93480992091141
"80",17,17.1,0.00833788,5.790194444,"Ito19","Ito","Static",6,NA,4.7,384,347.41166664,3.95597805849282
"81",17,17.05,0.006545455,4.545454861,"Ito20","Ito","Static",6,NA,2.2,376,272.72729166,2.85676032515467
"82",19,18.65,0.008150486,5.660059722,"Ito17","Ito","Static",7,NA,2.7,372,339.60358332,3.63832079964687
"83",19,18.65,0.010091935,7.008288194,"Ito18","Ito","Static",7,NA,1.5,374,420.49729164,4.22291123326645
"84",19,18.55,0.007554437,5.246136806,"Ito19","Ito","Static",7,NA,4.7,384,314.76820836,3.58426686652867
"85",19,18.65,0.009520536,6.611483333,"Ito20","Ito","Static",7,NA,2.2,376,396.68899998,4.1552328322936
"86",20,19.65,0.008685511,6.031604861,"Ito17","Ito","Static",8,NA,2.7,372,361.89629166,3.87715227380554
"87",20,19.6,0.009778111,6.790354861,"Ito18","Ito","Static",8,NA,1.5,374,407.42129166,4.09159341434216
"88",20,19.65,0.008475679,5.885888194,"Ito19","Ito","Static",8,NA,4.7,384,353.15329164,4.02135796567835
"89",20,19.7,0.008287347,5.755102083,"Ito20","Ito","Static",8,NA,2.2,376,345.30612498,3.61700815445176
"90",17,16.5,0.006928483,4.811446528,"Ito21","Ito","Static",1,NA,3.7,582,288.68679168,3.2019003732884
"91",17,16.55,0.006852045,4.758364583,"Ito22","Ito","Static",1,NA,3,362,285.50187498,3.0943612501049
"92",17,16.75,0.00782094,5.431208333,"Ito21","Ito","Static",2,NA,3.7,582,325.87249998,3.61433674626504
"93",17,16.75,0.007866589,5.462909028,"Ito22","Ito","Static",2,NA,3,362,327.77454168,3.55252602322327
"94",17,17.3,0.008137514,5.651051389,"Ito21","Ito","Static",3,NA,3.7,582,339.06308334,3.7606369408063
"95",17,17.4,0.007582255,5.265454861,"Ito22","Ito","Static",3,NA,3,362,315.92729166,3.42412171279707
"96",19,19.15,0.008881502,6.167709722,"Ito21","Ito","Static",4,NA,3.7,582,370.06258332,4.10446046657308
"97",19,19.25,0.007796923,5.414529861,"Ito22","Ito","Static",4,NA,3,362,324.87179166,3.52106508384674
"98",19,18.75,0.007442409,5.168339583,"Ito21","Ito","Static",5,NA,3.7,582,310.10037498,3.43940400122616
"99",19,18.7,0.007870306,5.465490278,"Ito22","Ito","Static",5,NA,3,362,327.92941668,3.55420460834164
