temp_bin,temp,rate_output,rate_final,FishID,Species,Method,trial,rep,mass,vol
16,15.65,0.006799304,4.721738889,Ito16,Ito,Static,8,NA,2.3,362
17,17.1,0.006912552,4.800383333,Ito14,Ito,Static,9,NA,3.4,582
17,17.15,0.006163033,4.279884028,Ito15,Ito,Static,8,NA,2.2,406
17,17.25,0.0069504,4.826666667,Ito16,Ito,Static,9,NA,2.3,362
20,19.5,0.011927135,8.282732639,Ito14,Ito,Static,10,NA,3.4,582
19,19.25,0.009258229,6.429325694,Ito15,Ito,Static,9,NA,2.2,406
20,19.55,0.006874852,4.774202778,Ito16,Ito,Static,10,NA,2.3,362
19,19.15,0.006896762,4.789418056,Ito17,Ito,Static,1,NA,2.7,372
19,18.95,0.009830857,6.826984028,Ito18,Ito,Static,1,NA,1.5,374
19,19.2,0.006947015,4.824315972,Ito19,Ito,Static,1,NA,4.7,384
19,19.35,0.009961558,6.917748611,Ito20,Ito,Static,1,NA,2.2,376
19,18.55,0.00722176,5.015111111,Ito17,Ito,Static,2,NA,2.7,372
19,18.65,0.008133355,5.648163194,Ito18,Ito,Static,2,NA,1.5,374
19,18.8,0.006894352,4.787744444,Ito19,Ito,Static,2,NA,4.7,384
19,18.8,0.008318487,5.776727083,Ito20,Ito,Static,2,NA,2.2,376
15,14.75,0.006731429,4.674603472,Ito17,Ito,Static,3,NA,2.7,372
15,14.75,0.00816,5.666666667,Ito18,Ito,Static,3,NA,1.5,374
15,14.8,0.007728458,5.366984722,Ito19,Ito,Static,3,NA,4.7,384
15,14.75,0.010947611,7.602507639,Ito20,Ito,Static,3,NA,2.2,376
15,14.6,0.006407483,4.449640972,Ito18,Ito,Static,4,NA,1.5,374
15,14.55,0.005784511,4.017021528,Ito19,Ito,Static,4,NA,4.7,384
15,14.65,0.009365818,6.504040278,Ito20,Ito,Static,4,NA,2.2,376
15,14.6,0.005203934,3.613843056,Ito17,Ito,Static,4,NA,2.7,372
16,15.55,0.005857524,4.067725,Ito17,Ito,Static,5,NA,2.7,372
16,15.6,0.005269781,3.659570139,Ito18,Ito,Static,5,NA,1.5,374
16,15.6,0.007316426,5.080851389,Ito19,Ito,Static,5,NA,4.7,384
16,15.6,0.005262948,3.654825,Ito20,Ito,Static,5,NA,2.2,376
17,17,0.006329905,4.395767361,Ito17,Ito,Static,6,NA,2.7,372
17,16.95,0.009403429,6.530159028,Ito18,Ito,Static,6,NA,1.5,374
17,17.1,0.00833788,5.790194444,Ito19,Ito,Static,6,NA,4.7,384
17,17.05,0.006545455,4.545454861,Ito20,Ito,Static,6,NA,2.2,376
19,18.65,0.008150486,5.660059722,Ito17,Ito,Static,7,NA,2.7,372
19,18.65,0.010091935,7.008288194,Ito18,Ito,Static,7,NA,1.5,374
19,18.55,0.007554437,5.246136806,Ito19,Ito,Static,7,NA,4.7,384
19,18.65,0.009520536,6.611483333,Ito20,Ito,Static,7,NA,2.2,376
20,19.65,0.008685511,6.031604861,Ito17,Ito,Static,8,NA,2.7,372
20,19.6,0.009778111,6.790354861,Ito18,Ito,Static,8,NA,1.5,374
20,19.65,0.008475679,5.885888194,Ito19,Ito,Static,8,NA,4.7,384
20,19.7,0.008287347,5.755102083,Ito20,Ito,Static,8,NA,2.2,376
17,16.5,0.006928483,4.811446528,Ito21,Ito,Static,1,NA,3.7,582
17,16.55,0.006852045,4.758364583,Ito22,Ito,Static,1,NA,3,362
17,16.75,0.00782094,5.431208333,Ito21,Ito,Static,2,NA,3.7,582
17,16.75,0.007866589,5.462909028,Ito22,Ito,Static,2,NA,3,362
17,17.3,0.008137514,5.651051389,Ito21,Ito,Static,3,NA,3.7,582
17,17.4,0.007582255,5.265454861,Ito22,Ito,Static,3,NA,3,362
19,19.15,0.008881502,6.167709722,Ito21,Ito,Static,4,NA,3.7,582
19,19.25,0.007796923,5.414529861,Ito22,Ito,Static,4,NA,3,362
19,18.75,0.007442409,5.168339583,Ito21,Ito,Static,5,NA,3.7,582
19,18.7,0.007870306,5.465490278,Ito22,Ito,Static,5,NA,3,362
